pmid,year,title,authors,journal,doi,theme,abstract,discussion
37380750,2023,Algorithmic fairness in artificial intelligence for medicine and healthcare,"Richard J Chen, Judy J Wang, Drew F K Williamson, et al.",Nature Biomedical Engineering,10.1038/s41551-023-01056-8,Fairness/Bias in Health AI (General),"Examines how insufficiently fair systems of artificial intelligence can undermine the delivery of equitable care. Covers biases from data acquisition, genetic variation, and labeling inconsistencies. Documents how AI model evaluations stratified across subpopulations reveal inequalities in diagnosis, treatment, and billing. Proposes mitigation via disentanglement, federated learning, and explainability techniques. Algorithmic fairness requires careful evaluation of training data diversity and model performance across demographic subgroups. Health AI systems must be audited for disparate performance before clinical deployment.",The paper discusses how health AI systems perpetuate historical inequities when trained on non-representative datasets. Federated learning is proposed as a privacy-preserving mechanism for training on more diverse data. Disentanglement techniques help separate demographic attributes from clinical predictions. Explainability tools aid in identifying sources of algorithmic bias in health AI. Regulatory frameworks need to require fairness evaluations for all clinical AI tools.
36084616,2022,Algorithmic fairness in computational medicine,"Jie Xu, Yunyu Xiao, Wendy Hui Wang, Yue Ning, Elizabeth A Shenkman, Jiang Bian, Fei Wang",EBioMedicine,10.1016/j.ebiom.2022.104250,Fairness/Bias in Health AI (General),"Reviews how ML systems introduce systematic biases in clinical decision-making across demographic subgroups. Notes particular harm to vulnerable ethnic minorities and underrepresented populations. Covers types of algorithmic bias, fairness measurement approaches, and bias-reduction strategies. Provides a survey of available software tools and libraries for fairness auditing in computational medicine. Diversity in training data and equitable representation are fundamental to fair clinical machine learning.","The review identifies pre-processing, in-processing, and post-processing bias mitigation strategies. Fairness metrics such as demographic parity and equalized odds are evaluated. Software tools including Fairlearn, AIF360, and LIME are compared for bias auditing tasks. Equity in computational medicine requires both technical fixes and institutional accountability. Intersectionality across race, gender, and socioeconomic status compounds health AI disparities."
37615031,2023,Algorithmic fairness and bias mitigation for clinical machine learning with deep reinforcement learning,"Jenny Yang, Andrew A S Soltan, David W Eyre, David A Clifton",Nature Machine Intelligence,10.1038/s42256-023-00697-3,Fairness/Bias in Health AI (General),Develops a reinforcement learning framework to remove hospital-specific and ethnicity-based bias from healthcare ML models. Applied to COVID-19 emergency department prediction and validated externally across three hospitals. Also applied to ICU discharge prediction. Demonstrates clinically viable screening performance with substantially improved outcome fairness versus established benchmarks. Deep reinforcement learning can serve as a bias mitigation tool in clinical machine learning pipelines.,Reinforcement learning agents learn to optimize both predictive performance and demographic fairness simultaneously. External validation across hospital sites ensures generalizability of bias mitigation findings. Ethnicity-based disparities in COVID-19 prediction were reduced without significant performance loss. The framework is generalizable to multiple clinical prediction tasks involving demographic equity. Policy implications include requiring fairness benchmarks in all clinical AI regulatory submissions.
36060496,2022,Enabling Fairness in Healthcare Through Machine Learning,"Thomas Grote, Geoff Keeling",Ethics and Information Technology,10.1007/s10676-022-09658-7,Fairness/Bias in Health AI (General),Argues that algorithms trained on sufficiently diverse datasets could in principle combat health inequalities. Defends affirmative algorithms — systems that perform better for disadvantaged populations. Central claim: what matters ethically is not algorithmic parity per se but the fairness of final decisions. Fairness in healthcare AI requires decisions that result in equitable diagnoses and treatment outcomes. Collaboration between clinicians and algorithms must be evaluated for downstream equity effects.,"The paper challenges the assumption that equal algorithmic performance across groups ensures equitable healthcare. Affirmative algorithms intentionally improve performance for historically underserved populations. Ethical frameworks for health AI fairness must consider justice, equity, and social responsibility. Diversity in training data alone is insufficient without equity-aware model design. Clinician-algorithm interaction patterns influence ultimate health equity outcomes."
33981989,2021,"Addressing Fairness, Bias, and Appropriate Use of Artificial Intelligence and Machine Learning in Global Health","Richard Ribón Fletcher, Audace Nakeshimana, Olusubomi Olubeko",Frontiers in Artificial Intelligence,10.3389/frai.2020.561802,Fairness/Bias in Health AI (General),"Provides a framework for responsible AI and ML deployment in global health, particularly in low- and middle-income countries. Establishes criteria for appropriateness, bias, and fairness in global health machine learning. Case study involves ML for pulmonary disease diagnosis in Pune, India. Analyzes performance variation across gender and socioeconomic status subgroups. Global health AI equity requires attention to local demographic diversity and context-specific biases.","The LMIC context introduces unique fairness challenges due to data scarcity and limited infrastructure. Gender and socioeconomic disparities in pulmonary disease diagnosis are amplified by biased ML models. Appropriate AI deployment criteria include local validation, stakeholder inclusion, and equity auditing. Community engagement and diverse data collection are essential for fair global health AI. Transparency and accountability mechanisms must be adapted to resource-limited health settings."
38677633,2024,A survey of recent methods for addressing AI fairness and bias in biomedicine,"Yifan Yang, Mingquan Lin, Han Zhao, Yifan Peng, Furong Huang, Zhiyong Lu",Journal of Biomedical Informatics,10.1016/j.jbi.2024.104646,Fairness/Bias in Health AI (General),"Systematic review of 55 articles on debiasing biomedical AI across NLP and computer vision tasks. Covers the period 2018 to 2023. Bias sources include insufficient data, sampling bias, and race-adjusted clinical algorithms. Categorizes remedies into distributional methods such as augmentation, reweighting, and federated learning. Also covers algorithmic methods including adversarial learning, disentangled representation, and causality-based approaches.",Distributional bias mitigation strategies address data imbalance through augmentation and reweighting techniques. Adversarial training and disentangled representations are promising algorithmic approaches for bias reduction. Causal inference methods help identify confounders that create spurious demographic correlations in health AI. Federated learning supports diverse data collection while preserving privacy across health institutions. Standardized bias benchmarks are needed to compare debiasing approaches across biomedical AI tasks.
35639450,2022,Evaluation and Mitigation of Racial Bias in Clinical Machine Learning Models: Scoping Review,"Jonathan Huang, Galal Galal, Mozziyar Etemadi, Mahesh Vaidyanathan",JMIR Medical Informatics,10.2196/36388,Racial/Ethnic Bias and Representation in Clinical ML,"Scoping review of 12 studies on racial bias evaluation and mitigation in clinical machine learning. Covers diagnosis, outcome prediction, and clinical scoring tasks. 67 percent of studies found racial bias present in clinical ML models. Most common fairness measures: equal opportunity difference, accuracy, and disparate impact. Preprocessing mitigation was the most common bias mitigation strategy used across studies.","The prevalence of racial bias across clinical ML tasks reflects systemic underrepresentation in training data. Equal opportunity difference captures the gap in true positive rates between racial subgroups. Preprocessing strategies include resampling, reweighting, and data augmentation for underrepresented races. Standardized reporting of racial composition in training data is urgently needed. Clinical ML models must be prospectively validated in diverse demographic settings before deployment."
39695057,2026,The Algorithmic Divide: A Systematic Review on AI-Driven Racial Disparities in Healthcare,"Syed Ali Haider, Sahar Borna, Cesar A Gomez-Cabello, Sophia M Pressman, Clifton R Haider, Antonio Jorge Forte",Journal of Racial and Ethnic Health Disparities,10.1007/s40615-024-02237-0,Racial/Ethnic Bias and Representation in Clinical ML,"Systematic review of 30 studies on AI-driven racial disparities in healthcare from 2013 to 2023. Finds a significant association between AI utilization and the exacerbation of racial disparities. Disparities particularly affect minority populations including Black and Hispanic patients. Identifies four primary causes: biased training data, flawed algorithm design, inequitable deployment, and systemic inequities. Racial and ethnic diversity in AI development teams is essential to reducing algorithmic disparities in healthcare.","Biased training data is the most frequently cited cause of AI-driven racial disparities in healthcare. Flawed algorithm design includes the use of race as a proxy variable in clinical prediction models. Inequitable deployment patterns concentrate AI tools in well-resourced, predominantly white institutions. Systemic health inequities are amplified when AI models are trained on historically biased clinical records. Diversity in AI development and governance is critical for equitable health outcomes."
41163810,2025,Gender and racial bias unveiled: clinical artificial intelligence (AI) and machine learning (ML) algorithms are fanning the flames of inequity,"Ahmed Umar Otokiti, Huan-Ju Shih, Karmen S Williams",Oxford Open Digital Health,10.1093/oodh/oqaf027,Racial/Ethnic Bias and Representation in Clinical ML,Systematic review of 390 clinical AI and ML publications with direct patient care implications. Finds 84 percent of global models did not report the racial composition of their training data. 31 percent of reviewed models lacked gender data in their training datasets. Only 16 percent of models used publicly available datasets. Calls urgently for standardized demographic reporting in AI and ML training data.,The lack of racial and gender transparency in clinical AI training data is a systemic accountability failure. Standardized reporting of demographic composition should be mandatory for clinical AI publications. Publicly available datasets can improve reproducibility and fairness auditing of health AI models. Gender and racial representation in training data are foundational to equitable health AI performance. Regulatory bodies must enforce demographic disclosure requirements for clinical machine learning.
34383925,2021,Bias and fairness assessment of a natural language processing opioid misuse classifier: detection and mitigation of electronic health record data disadvantages across racial subgroups,"Hale M Thompson, Brihat Sharma, Sameer Bhalla, et al.",Journal of the American Medical Informatics Association,10.1093/jamia/ocab148,Racial/Ethnic Bias and Representation in Clinical ML,"Evaluated fairness of an ML classifier for opioid misuse detection in electronic health records. Validation cohort included 53,974 patients across racial and ethnic groups. Found significantly higher false negative rates for Black patients compared to White patients. Post-hoc recalibration of classification thresholds eliminated the racial bias in false negative rates. Standardized and transparent bias assessments are needed to improve trustworthiness in clinical ML models.",NLP-based opioid misuse detection exhibits racial disparities that could exacerbate healthcare inequities. False negative rate disparities mean Black patients are more likely to have opioid misuse go undetected. Post-hoc recalibration is a practical and clinically viable approach to reducing racial bias. EHR-based training data inherits structural racism from historical clinical documentation patterns. Fairness auditing should be a required component of all NLP clinical tool validation studies.
39173183,2024,Health Equity and Ethical Considerations in Using Artificial Intelligence in Public Health and Medicine,Irene Dankwa-Mullan,Preventing Chronic Disease,10.5888/pcd21.240245,Health Equity Policy and Frameworks,Commentary on how health equity and ethics shape AI implementation in public health and medicine. Notes AI deployment risks amplifying disparities for racial and ethnic minorities. People with disabilities and low-income populations are also at heightened risk of harm from biased AI. Emphasizes ethical social responsibility in the development and deployment of health AI systems. Offers guidance for leveraging AI to advance equitable health outcomes across diverse populations.,Equity must be embedded throughout the AI lifecycle from design to deployment and monitoring. Ethical frameworks for health AI must address structural determinants of health disparities. Community engagement with historically marginalized populations is essential for equitable AI development. Public health AI must be evaluated for differential impact on vulnerable and underserved populations. Governance structures for health AI should include representation from affected communities.
34811466,2021,Advancing health equity with artificial intelligence,"Nicole M Thomasian, Carsten Eickhoff, Eli Y Adashi",Journal of Public Health Policy,10.1057/s41271-021-00319-5,Health Equity Policy and Frameworks,"Argues that if the benefits of emerging AI technologies are to be realized, consensus around regulation of algorithmic bias is needed. Uses historical and hypothetical examples to illustrate how embedded biases perpetuate health disparities. Proposes three regulatory oversight principles addressing different phases of the algorithm lifecycle. Health equity in AI requires coordinated policy action across developers, regulators, and healthcare institutions. Diversity in AI research and development teams is essential for building equitable health systems.","Historical examples of medical bias inform current understanding of how AI perpetuates health inequities. Regulatory oversight principles should address bias prevention, monitoring, and remediation. Algorithm lifecycle phases include data collection, model training, deployment, and post-market surveillance. Health equity goals require intentional diversity in both AI development teams and training datasets. Policy consensus on fairness standards is a prerequisite for equitable AI deployment in healthcare."
38955956,2025,Bridging Health Disparities in the Data-Driven World of Artificial Intelligence: A Narrative Review,"Anastasia Murphy, Kuan Bowen, Isaam M El Naqa, Balaurunathan Yoga, B Lee Green",Journal of Racial and Ethnic Health Disparities,10.1007/s40615-024-02057-2,Health Equity Policy and Frameworks,"Narrative review of 65 articles on AI impact on racial and ethnic health disparities in the United States. Identifies six key limitations: AI biases perpetuate inequities, need for algorithmic equity, insufficient diversity in AI fields, regulation and testing gaps, lack of ethical standards, and insufficient transparency. Concludes AI must be approached with an equity lens during all phases of development and deployment. Bridging health disparities requires intentional diversity in data, teams, and governance.","The six identified limitations form a structural critique of AI health equity practices. Insufficient diversity in the AI workforce limits the range of equity concerns addressed in model design. Regulation gaps allow biased AI tools to enter clinical practice without adequate fairness evaluation. Transparency in model development, including data provenance, is essential for equity accountability. An equity lens in AI development requires centering the experiences of historically marginalized communities."
34185974,2021,Unexpected Inequality: Disparate-Impact From Artificial Intelligence in Healthcare Decisions,Sahar Takshi,Journal of Law and Health,,Health Equity Policy and Frameworks,"Addresses systemic discrimination in healthcare amplified by AI adoption. Notes physicians incorrectly view people of color as having high pain tolerance, leading to undertreatment. Identifies regulatory gaps — particularly the FDA lacking authority to enforce anti-discrimination standards in AI clinical tools. Proposes nondiscrimination frameworks and recommends industry self-regulation. Advocates for a dedicated regulatory body to oversee fairness and equity in health AI.",Disparate impact doctrine from civil rights law is applicable to algorithmic discrimination in healthcare. FDA regulatory authority does not currently extend to ensuring demographic equity in clinical AI. Nondiscrimination frameworks must address both direct and indirect algorithmic discrimination. Industry self-regulation has proven insufficient to prevent equity harms in health AI deployment. A dedicated AI health equity regulatory body would provide structured accountability for disparate impact.
39055787,2024,Stakeholder perspectives on ethical and trustworthy voice AI in health care,"Jean-Christophe Bélisle-Pipon, Maria Powell, Renee English, et al.",Digital Health,10.1177/20552076241260407,Voice and Speech Biomarkers (Bias/Equity),"First published stakeholder survey on voice as a biomarker of health from the Bridge2AI-Voice Consortium. Surveyed 27 stakeholders at the 2023 Voice AI Symposium. Identifies priorities for ethical data sourcing, synthetic voice data use, and trustworthiness frameworks. Highlights that voice AI via smartphones and telehealth may help address health disparities. Bias-free dataset development for voice health AI is identified as essential and complex.",Voice biomarker AI poses unique equity challenges due to demographic variability in speech acoustics. Synthetic voice data generation could help augment underrepresented speaker demographics in datasets. Telehealth delivery of voice AI tools may improve access for underserved populations. Trustworthy voice AI requires transparent ethical frameworks addressing diversity and representation. The Bridge2AI consortium prioritizes equitable and diverse voice dataset development.
