Lmod has detected the following error: These module(s) or extension(s) exist
but cannot be loaded as requested: "cuda/11.8"
   Try: "module spider cuda/11.8" to see how to load the module(s).



Device: cuda
Loaded checkpoint: /project/6086959/sepehr/VoiceConversion/mask_cyclegan/scripts/../checkpoints/best_mask_cyclegan.pth (epoch 343)
Test set: 61 pre-surgery, 63 post-surgery segments

Evaluating A→B (pre-surgery → post-surgery)...
  [1/61] MCD=73.40  Cycle=0.0570  Idt=0.0683
  [2/61] MCD=71.49  Cycle=0.0563  Idt=0.0746
  [3/61] MCD=70.50  Cycle=0.0538  Idt=0.0770
  [4/61] MCD=69.75  Cycle=0.0548  Idt=0.0698
  [5/61] MCD=70.37  Cycle=0.0607  Idt=0.0897
  [6/61] MCD=76.86  Cycle=0.0573  Idt=0.0762
  [7/61] MCD=71.31  Cycle=0.0548  Idt=0.0695
  [8/61] MCD=73.93  Cycle=0.0597  Idt=0.0935
  [9/61] MCD=81.18  Cycle=0.0578  Idt=0.0823
  [10/61] MCD=75.91  Cycle=0.0591  Idt=0.0737
  [11/61] MCD=75.33  Cycle=0.0598  Idt=0.0756
  [12/61] MCD=76.17  Cycle=0.0560  Idt=0.0729
  [13/61] MCD=82.38  Cycle=0.0769  Idt=0.1014
  [14/61] MCD=80.61  Cycle=0.0779  Idt=0.1139
  [15/61] MCD=74.23  Cycle=0.0689  Idt=0.1093
  [16/61] MCD=72.54  Cycle=0.0686  Idt=0.1014
  [17/61] MCD=73.87  Cycle=0.0670  Idt=0.0902
  [18/61] MCD=73.18  Cycle=0.0675  Idt=0.0980
  [19/61] MCD=80.39  Cycle=0.0652  Idt=0.1318
  [20/61] MCD=73.90  Cycle=0.0729  Idt=0.1060
  [21/61] MCD=82.61  Cycle=0.0668  Idt=0.1099
  [22/61] MCD=74.36  Cycle=0.0636  Idt=0.0971
  [23/61] MCD=78.30  Cycle=0.0706  Idt=0.1072
  [24/61] MCD=64.90  Cycle=0.0562  Idt=0.0826
  [25/61] MCD=71.79  Cycle=0.0637  Idt=0.0846
  [26/61] MCD=74.04  Cycle=0.0695  Idt=0.1060
  [27/61] MCD=76.90  Cycle=0.0602  Idt=0.0824
  [28/61] MCD=82.67  Cycle=0.0676  Idt=0.1488
  [29/61] MCD=72.54  Cycle=0.0569  Idt=0.0900
  [30/61] MCD=72.43  Cycle=0.0586  Idt=0.0852
  [31/61] MCD=83.58  Cycle=0.0699  Idt=0.1446
  [32/61] MCD=77.76  Cycle=0.0652  Idt=0.0873
  [33/61] MCD=73.28  Cycle=0.0700  Idt=0.1017
  [34/61] MCD=78.59  Cycle=0.0614  Idt=0.1034
  [35/61] MCD=72.03  Cycle=0.0596  Idt=0.0928
  [36/61] MCD=78.48  Cycle=0.0721  Idt=0.1047
